inum,base entry,signature,logfile sequence number,sequence value,link count,is base entry,in use,directory,used size of MFT entry,allocated size of MFT entry,file reference to base record,next attribute id,SI creation time,SI file altered time,SI mft altered time,SI file accessed time,SI flags,SI maximum number of versions,SI version number,SI class id,SI owner id,SI security id,SI quota charged,SI usn,FN file creation time,FN file modification time,FN mft modification time,FN file access time,FN file allocated size,FN file real size,FN flags,FN reparse value,FN name length,FN namespace,FN name,FN pdfme,FN pdfsn
0,0,FILE,1068445,1,1,True,True,False,416,1024,0,7,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,256,0,0,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,16384,16384,HIDDEN|SYSTEM,0,4,3,$MFT,5,5
1,0,FILE,1068515,1,1,True,True,False,344,1024,0,4,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,256,0,0,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,4096,4096,HIDDEN|SYSTEM,0,8,3,$MFTMirr,5,5
2,0,FILE,1068593,2,1,True,True,False,344,1024,0,4,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,256,0,0,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2097152,2097152,HIDDEN|SYSTEM,0,8,3,$LogFile,5,5
3,0,FILE,1069728,3,1,True,True,False,360,1024,0,6,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,257,0,0,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,0,0,HIDDEN|SYSTEM,0,7,3,$Volume,5,5
4,0,FILE,1069698,4,1,True,True,False,448,1024,0,5,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,0,0,0,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,36864,36864,HIDDEN|SYSTEM,0,8,3,$AttrDef,5,5
5,0,FILE,1085926,5,1,True,True,True,864,1024,0,11,2016-01-29 21:24:42.183724,2016-01-29 21:29:12.795932,2016-01-29 21:29:12.795932,2016-01-29 21:29:12.795932,HIDDEN|SYSTEM,0,0,0,0,0,0,2360,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,0,0,HIDDEN|SYSTEM,0,1,3,.,5,5
6,0,FILE,1068663,6,1,True,True,False,336,1024,0,5,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,256,0,0,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,4096,4096,HIDDEN|SYSTEM,0,7,3,$Bitmap,5,5
7,0,FILE,0,7,1,True,True,False,440,1024,0,4,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,0,0,0,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,8192,8192,HIDDEN|SYSTEM,0,5,3,$Boot,5,5
8,0,FILE,1068733,8,1,True,True,False,376,1024,0,5,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,256,0,0,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,0,0,HIDDEN|SYSTEM,0,8,3,$BadClus,5,5
9,0,FILE,1077479,9,1,True,True,False,760,1024,0,15,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,257,0,0,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,0,0,HIDDEN|SYSTEM,0,7,3,$Secure,5,5
10,0,FILE,1069141,10,1,True,True,False,408,1024,0,5,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,256,0,0,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,131072,131072,HIDDEN|SYSTEM,0,7,3,$UpCase,5,5
11,0,FILE,1073282,11,1,True,True,True,848,1024,0,5,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,257,0,0,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,0,0,HIDDEN|SYSTEM,0,7,3,$Extend,5,5
12,0,FILE,0,12,0,True,True,False,288,1024,0,3,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,0,0,0,,,,,,,,,,,,,
13,0,FILE,0,13,0,True,True,False,288,1024,0,3,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,0,0,0,,,,,,,,,,,,,
14,0,FILE,0,14,0,True,True,False,288,1024,0,3,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,0,0,0,,,,,,,,,,,,,
15,0,FILE,0,15,0,True,True,False,288,1024,0,3,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,2016-01-29 21:24:42.183724,HIDDEN|SYSTEM,0,0,0,0,0,0,0,,,,,,,,,,,,,
24,0,FILE,1069158,1,1,True,True,False,624,1024,0,4,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,HIDDEN|SYSTEM|ARCHIVE,0,0,0,0,257,0,0,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,0,0,HIDDEN|SYSTEM|ARCHIVE,0,6,0,$Quota,11,11
25,0,FILE,1085675,1,1,True,True,False,432,1024,0,3,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,HIDDEN|SYSTEM|ARCHIVE,0,0,0,0,257,0,0,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,0,0,HIDDEN|SYSTEM|ARCHIVE,0,6,0,$ObjId,11,11
26,0,FILE,1069175,1,1,True,True,False,352,1024,0,3,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,HIDDEN|SYSTEM|ARCHIVE,0,0,0,0,257,0,0,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,0,0,HIDDEN|SYSTEM|ARCHIVE,0,8,0,$Reparse,11,11
27,0,FILE,1070273,1,1,True,True,True,640,1024,0,3,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,HIDDEN|SYSTEM,0,0,0,0,258,0,0,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,0,0,HIDDEN|SYSTEM,0,11,0,$RmMetadata,11,11
28,0,FILE,1067908,1,1,True,True,False,384,1024,0,5,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,HIDDEN|SYSTEM|ARCHIVE,0,0,0,0,0,0,0,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,0,0,HIDDEN|SYSTEM|ARCHIVE,0,7,0,$Repair,27,1
29,0,FILE,1070577,1,1,True,True,True,440,1024,0,3,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,HIDDEN|SYSTEM,0,0,0,0,258,0,0,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,0,0,HIDDEN|SYSTEM,0,7,0,$TxfLog,27,1
30,0,FILE,1070490,1,1,True,True,True,448,1024,0,4,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,HIDDEN|SYSTEM,0,0,0,0,258,0,0,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,0,0,HIDDEN|SYSTEM,0,4,0,$Txf,27,1
31,0,FILE,1070822,1,1,True,True,False,472,1024,0,5,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,HIDDEN|SYSTEM|ARCHIVE,0,0,0,0,258,0,0,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,0,0,HIDDEN|SYSTEM|ARCHIVE,0,5,0,$Tops,29,1
32,0,FILE,1071124,2,0,True,False,False,160,1024,0,1,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,2016-01-29 21:24:42.263690,ARCHIVE,0,0,0,0,259,0,0,,,,,,,,,,,,,
33,0,FILE,1072097,1,1,True,True,True,504,1024,0,3,2016-01-29 21:24:42.943738,2016-01-29 21:24:42.943738,2016-01-29 21:24:42.943738,2016-01-29 21:24:42.943738,HIDDEN|SYSTEM,0,0,0,0,261,0,0,2016-01-29 21:24:42.943738,2016-01-29 21:24:42.943738,2016-01-29 21:24:42.943738,2016-01-29 21:24:42.943738,0,0,HIDDEN|SYSTEM,0,25,0,System Volume Information,5,5
34,0,FILE,1072197,1,1,True,True,False,392,1024,0,3,2016-01-29 21:24:42.943738,2016-01-29 21:24:42.943738,2016-01-29 21:24:42.943738,2016-01-29 21:24:42.943738,ARCHIVE,0,0,0,0,262,0,0,2016-01-29 21:24:42.943738,2016-01-29 21:24:42.943738,2016-01-29 21:24:42.943738,2016-01-29 21:24:42.943738,0,0,ARCHIVE,0,17,0,IndexerVolumeGuid,33,1
35,0,FILE,1085896,1,1,True,True,False,424,1024,0,5,2016-01-29 21:25:23.664970,2016-01-29 21:25:23.664970,2016-01-29 21:25:23.664970,2016-01-29 21:25:23.664970,HIDDEN|SYSTEM|ARCHIVE|SPARSE_FILE,0,0,0,0,257,0,0,2016-01-29 21:25:23.664970,2016-01-29 21:25:23.664970,2016-01-29 21:25:23.664970,2016-01-29 21:25:23.664970,0,0,HIDDEN|SYSTEM|ARCHIVE,0,8,0,$UsnJrnl,11,11
36,0,FILE,1078460,1,1,True,True,False,504,1024,0,4,2016-01-29 21:27:30.757846,2016-01-21 12:39:55.326702,2016-01-21 12:39:55.326702,2016-01-29 21:27:30.757846,ARCHIVE,0,0,0,0,263,0,640,2016-01-29 21:27:30.757846,2016-01-29 21:27:30.757846,2016-01-29 21:27:30.757846,2016-01-29 21:27:30.757846,299008,299008,ARCHIVE,0,7,0,cat.jpg,5,5
37,0,FILE,1076785,1,1,True,True,True,536,1024,0,3,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,HIDDEN|SYSTEM,0,0,0,0,264,0,1048,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,0,0,,0,12,0,$RECYCLE.BIN,5,5
38,0,FILE,1077592,1,1,True,True,True,528,1024,0,3,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,HIDDEN|SYSTEM,0,0,0,0,265,0,1592,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,0,0,,0,44,0,S-1-5-21-157005759-726012785-4291476054-1001,37,1
39,0,FILE,1078436,1,1,True,True,False,432,1024,0,3,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.858144,2016-01-29 21:27:30.858144,2016-01-29 21:27:30.846998,HIDDEN|SYSTEM|ARCHIVE,0,0,0,0,266,0,2272,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,2016-01-29 21:27:30.846998,0,0,ARCHIVE,0,11,0,desktop.ini,38,1
40,0,FILE,1085830,2,1,True,False,False,512,1024,0,4,2016-01-29 21:27:37.940306,2016-01-29 20:56:41.930538,2016-01-29 21:27:21.078904,2016-01-29 21:27:37.940306,ARCHIVE,0,0,0,0,263,0,2984,2016-01-29 21:27:37.940306,2016-01-29 21:27:37.940306,2016-01-29 21:27:37.940306,2016-01-29 21:27:37.940306,454656,454656,ARCHIVE,0,10,0,target.jpg,5,5
41,0,FILE,1085697,3,1,True,False,False,384,1024,0,5,2016-01-29 21:28:11.527128,2016-01-29 21:28:56.652424,2016-01-29 21:28:56.652424,2016-01-29 21:28:11.527128,ARCHIVE,0,0,0,0,263,0,4744,2016-01-29 21:28:11.527128,2016-01-29 21:28:11.527128,2016-01-29 21:28:11.527128,2016-01-29 21:28:11.527128,0,0,ARCHIVE,0,12,0,password.txt,5,5
